for_date,n_long,n_short,ret_long_only,ret_long_short,cum_long_only,cum_long_short
2026-05-14,5,5,0.01988995006230566,0.017343310724839082,1.0198899500623058,1.017343310724839
2026-05-15,5,5,-0.05429635966151223,-0.05681594023706859,0.9645136385185611,0.9595419939821151
2026-05-19,5,5,-0.02341772783655226,-0.027391923245233783,0.9419269206370907,0.9332582933323785
2026-05-20,5,5,0.02010872985904836,0.02843064905301752,0.9608678746311472,0.9597914323459295
2026-05-21,5,5,0.09378248354806236,0.09575830445333434,1.0509804502756044,1.0516994325362128
2026-05-22,5,5,0.03313798638433192,0.033912526112329644,1.0858078261270365,1.0873652170044195
2026-06-02,5,5,-0.038507334172690956,-0.07535494595935968,1.0439962613190397,1.0054268698389641
2026-06-03,5,5,0.0008180161654654805,-0.04909460542151538,1.044850267137484,0.9560658343840309
2026-06-04,5,5,-0.03787579540563208,-0.0560756105511623,1.0052757321898647,0.90245385899384
2026-06-05,5,5,0.0142367433830387,0.04998605848469364,1.019587584818248,0.9475639703692436
2026-06-09,5,5,0.04749069315508332,-0.00014026148058701726,1.068008505953584,0.9474310636438087
2026-06-10,5,5,-0.06002844966379366,-0.034921141282916575,1.0038976111134459,0.9143456896144794
2026-06-11,5,5,0.00011880391999493922,-0.007286283563807041,1.0040168780849197,0.9076835076446036
2026-06-12,5,5,0.045876071972983885,0.04651556362264914,1.050077228646034,0.9499049175936755
2026-06-16,5,5,0.01787358239429848,0.00512377494275546,1.0688458705126154,0.9547720166084421
2026-06-17,5,5,0.00376790247866656,0.0061369091725822,1.0728731775174323,0.9606313657548914
2026-06-18,5,5,0.03978343930426613,0.0007342393777046707,1.1155557624563723,0.961336699131087
2026-06-23,5,5,-0.029350820339718437,7.880389651612751e-05,1.0828132856935777,0.9614124562088424
2026-06-24,5,5,-0.017844969028935502,-0.007648617463095721,1.063490516146256,0.9540589801070457
2026-06-25,5,5,0.029398784198710004,0.011520575003786046,1.0947558443278145,0.9650502881454046
2026-06-26,5,5,-0.06707434555368996,-0.03022588710707478,1.021325812528449,0.9358807870832716
2026-06-30,5,5,0.03496170551800354,0.03541923046117772,1.0570331048240045,0.9690289643651625
2026-07-01,5,5,0.013913115897788219,0.036739911500530936,1.0717397289192199,1.0046310027573897
2026-07-02,5,5,-0.0032396173595719987,-0.02028133173948276,1.0682677022884701,0.9842557481146978
2026-07-03,5,5,-0.00398608303369782,-0.02631779058112496,1.0640094985249307,0.9583523114575467
2026-07-07,5,5,-0.07537628434078156,-0.0703591632877093,0.9838084160228231,0.8909234446885516
2026-07-08,5,5,0.03276419614607158,0.02711517109294826,1.0160421079355508,0.9150809863220004
2026-07-09,5,5,-0.0151040711657771,-0.01584966012576176,1.0006957356298662,0.9005772637012499
2026-07-10,5,5,0.0,0.0,1.0006957356298662,0.9005772637012499
2026-07-14,5,5,-0.025395561938532464,-0.023319334537586882,0.9752825050940527,0.8795764012120559
2026-07-15,5,5,0.050906048037393604,0.04109680465849801,1.0249302831484,0.9157241807548925
2026-07-16,5,5,-0.009483228562289758,-0.0073959268499519375,1.0152106350128913,0.9089515516992971
2026-07-17,5,5,-0.09577716489021834,-0.09826162575087605,0.9179766386249584,0.8196364945005427
2026-07-21,5,5,0.04925406297441216,0.040432084690515804,0.9631907177928314,0.8527761066616261
2026-07-22,5,5,0.05874283559072417,0.03487978434089131,1.0197712717706473,0.8825207533530485
2026-07-23,5,5,-0.019436245706237577,-0.0416254843873483,0.9999507467683506,0.8457853995128404
2026-07-24,5,5,-0.06615033903674253,-0.07700156081672743,0.9338036658495804,0.7806586036343524
2026-07-28,5,5,-0.08751573418954003,-0.047998227911622095,0.8520811524438704,0.7431883740559421
2026-07-29,5,5,-0.07843106078408783,-0.08883875875274833,0.7852515237835697,0.6771644413853389
2026-07-30,5,5,0.017814747661954834,0.017123057459639445,0.7992405815309395,0.6887595670248048
